experiment_date,experiment_start_time,algorihm,a_star_factor,focus_factor,size,initial_state,initial_0_norm,initial_taxi_norm,num_states_explored,path_length,runtime
2025/08/21,10:36:41,greedy 0-norm,-1,-1,3,054832176,9,14,546,45,0 days 00:00:02.193344
2025/08/21,10:36:44,taxicab total,-1,-1,3,054832176,9,14,139,23,0 days 00:00:00.283796
2025/08/21,10:36:44,A-star 0-norm,1.55,-1,3,054832176,9,14,304,17,0 days 00:00:00.676235
2025/08/21,10:36:44,"A-star,  taxi",1.55,-1,3,054832176,9,14,29,17,0 days 00:00:00.014205
2025/08/21,14:03:20,greedy 0-norm,-1,1.25,3,162508437,8,12,824,43,0 days 00:00:06.074086
2025/08/21,14:03:26,taxicab total,-1,1.25,3,162508437,8,12,16,13,0 days 00:00:00.015687
2025/08/21,14:03:26,A-star 0-norm,1.5,1.25,3,162508437,8,12,383,13,0 days 00:00:01.272794
2025/08/21,14:03:27,"A-star,  taxi",1.5,1.25,3,162508437,8,12,16,13,0 days 00:00:00.016146
2025/08/21,14:03:57,greedy 0-norm,-1,1.25,3,267345018,9,16,858,39,0 days 00:00:06.720156
2025/08/21,14:04:04,taxicab total,-1,1.25,3,267345018,9,16,484,41,0 days 00:00:05.202818
2025/08/21,14:04:09,A-star 0-norm,1.5,1.25,3,267345018,9,16,5000,-1,0 days 00:03:56.504613
2025/08/21,14:08:06,"A-star,  taxi",1.5,1.25,3,267345018,9,16,411,23,0 days 00:00:04.442442
2025/08/21,14:08:10,greedy 0-norm,-1,1.25,3,065732481,8,14,1663,49,0 days 00:00:26.035860
2025/08/21,14:08:36,taxicab total,-1,1.25,3,065732481,8,14,533,61,0 days 00:00:06.491164
2025/08/21,14:08:43,A-star 0-norm,1.5,1.25,3,065732481,8,14,5000,-1,0 days 00:03:56.883639
2025/08/21,14:12:40,"A-star,  taxi",1.5,1.25,3,065732481,8,14,2881,29,0 days 00:03:13.920604
2025/08/21,14:15:54,greedy 0-norm,-1,1.25,3,042518763,8,12,518,61,0 days 00:00:02.583001
2025/08/21,14:15:56,taxicab total,-1,1.25,3,042518763,8,12,228,45,0 days 00:00:01.107492
2025/08/21,14:15:57,A-star 0-norm,1.5,1.25,3,042518763,8,12,94,13,0 days 00:00:00.097758
2025/08/21,14:15:57,"A-star,  taxi",1.5,1.25,3,042518763,8,12,20,13,0 days 00:00:00.021267
2025/08/21,14:15:57,greedy 0-norm,-1,1.25,3,321508476,8,10,980,65,0 days 00:00:08.911428
2025/08/21,14:16:06,taxicab total,-1,1.25,3,321508476,8,10,619,55,0 days 00:00:07.817922
2025/08/21,14:16:14,A-star 0-norm,1.5,1.25,3,321508476,8,10,5000,-1,0 days 00:03:51.261121
2025/08/21,14:20:05,"A-star,  taxi",1.5,1.25,3,321508476,8,10,1227,25,0 days 00:00:31.624611
2025/08/21,14:20:37,greedy 0-norm,-1,1.25,3,845102763,8,14,103,15,0 days 00:00:00.118603
2025/08/21,14:20:37,taxicab total,-1,1.25,3,845102763,8,14,16,15,0 days 00:00:00.014961
2025/08/21,14:20:37,A-star 0-norm,1.5,1.25,3,845102763,8,14,185,15,0 days 00:00:00.362383
2025/08/21,14:20:37,"A-star,  taxi",1.5,1.25,3,845102763,8,14,16,15,0 days 00:00:00.016189
2025/08/21,15:24:55,greedy 0-norm,-1,1.1,3,873206541,7,16,1672,45,0 days 00:00:18.979969
2025/08/21,15:25:14,taxicab total,-1,1.1,3,873206541,7,16,187,37,0 days 00:00:00.625745
2025/08/22,12:56:08,greedy 0-norm,-1,1.1,4,5124141163131098157120,13,22,2004,89,0 days 00:00:41.937559
2025/08/22,13:00:50,greedy 0-norm,-1,1.25,4,2504115371310611149128,14,20,5000,-1,0 days 00:04:59.443401
2025/08/22,13:05:50,taxicab total,-1,1.25,4,2504115371310611149128,14,20,680,65,0 days 00:00:19.665626
2025/08/22,13:06:09,A-star 0-norm,1.5,1.25,4,2504115371310611149128,14,20,5000,-1,0 days 00:05:51.668811
2025/08/22,13:12:01,"A-star,  taxi",1.5,1.25,4,2504115371310611149128,14,20,661,33,0 days 00:00:21.480137
2025/08/22,13:13:53,taxicab total,-1,1.25,4,9371150841021561311412,14,22,3000,-1,0 days 00:07:57.105160
2025/08/22,13:21:51,"A-star,  taxi",1.5,1.25,4,9371150841021561311412,14,22,2443,39,0 days 00:04:43.502461
2025/08/22,13:44:50,"A-star,  taxi",1.5,1.1,4,2153411068570119131412,13,16,44,19,0 days 00:00:00.100771
2025/08/22,13:44:50,"A-star,  taxi",1.5,1.1,4,1014850639214121311715,12,18,113,23,0 days 00:00:00.612682
2025/08/22,13:44:51,"A-star,  taxi",1.5,1.1,4,1486723105130111412159,14,26,3000,-1,0 days 00:06:57.058787
2025/08/22,14:01:30,"A-star,  taxi",0.9,1.1,4,2861151337194121015140,13,24,3000,-1,0 days 00:06:42.506851
2025/08/25,13:38:03,"A-star,  taxi",0.9,1.1,3,420153687,6,8,3000,-1,0 days 00:02:21.216655
2025/08/25,14:17:33,A-star inv d,-1,1.3,3,238174056,9,12,395,21,0 days 00:00:06.351502
2025/08/25,14:17:52,A-star inv d,-1,1.3,3,786203415,9,14,1693,29,0 days 00:01:57.451510
2025/08/25,14:22:45,A-star inv d,-1,1.3,3,423108567,7,10,1665,23,0 days 00:01:53.501780
