experiment_date,experiment_start_time,w_1,w_2,size,initial_state,initial_0_norm,initial_taxi_norm,initial_inv_norm,num_states_explored,path_length,runtime
2025/08/26,15:10:52,0,1,3,583402176,7,10,31,97,40,0 days 00:00:00.268017
2025/08/26,15:14:24,0,1,3,724805316,8,16,31,152,34,0 days 00:00:00.613013
2025/08/26,15:15:01,0,1,3,852103746,8,10,31,102,44,0 days 00:00:00.281854
2025/08/26,15:16:11,0,1,3,170842563,8,14,31,34,22,0 days 00:00:00.037484
2025/08/26,15:16:19,0,1,3,837412056,8,14,31,137,48,0 days 00:00:00.467333
2025/08/26,15:46:11,0,1,3,130825476,8,8,19,10,8,0 days 00:00:00.004763
2025/08/26,15:47:07,0,1,3,130825476,8,8,19,10,8,0 days 00:00:00.005547
2025/08/26,15:47:58,0,1,3,130825476,8,8,19,10,8,0 days 00:00:00.005403
2025/08/26,15:48:54,0,1,3,130825476,8,8,19,10,8,0 days 00:00:00.005139
2025/08/26,15:53:28,0,1,3,164582730,6,12,27,104,48,0 days 00:00:00.276672
2025/08/26,16:00:58,0.0,1.0,3,152643078,8,8,17,39,18,0 days 00:00:00.045972
2025/08/26,16:00:58,1.0,1.0,3,152643078,8,8,17,63,18,0 days 00:00:00.108339
2025/08/26,16:00:59,1.0,1.1,3,152643078,8,8,17,44,18,0 days 00:00:00.055170
2025/08/26,16:00:59,1.0,1.25,3,152643078,8,8,17,44,18,0 days 00:00:00.055105
2025/08/26,16:00:59,1.0,1.5,3,152643078,8,8,17,41,18,0 days 00:00:00.049231
2025/08/26,16:01:39,0.0,1.0,3,830216574,8,14,29,105,52,0 days 00:00:00.298761
2025/08/26,16:01:40,1.0,1.0,3,830216574,8,14,29,237,22,0 days 00:00:01.386151
2025/08/26,16:01:41,1.0,1.1,3,830216574,8,14,29,192,26,0 days 00:00:00.893196
2025/08/26,16:01:42,1.0,1.25,3,830216574,8,14,29,191,26,0 days 00:00:00.899069
2025/08/26,16:01:43,1.0,1.5,3,830216574,8,14,29,151,26,0 days 00:00:00.536878
2025/08/26,16:02:20,0.0,1.0,3,832461075,8,12,33,282,70,0 days 00:00:02.134834
2025/08/26,16:02:23,1.0,1.0,3,832461075,8,12,33,387,26,0 days 00:00:03.647961
2025/08/26,16:02:26,1.0,1.1,3,832461075,8,12,33,295,32,0 days 00:00:02.070618
2025/08/26,16:02:28,1.0,1.25,3,832461075,8,12,33,318,32,0 days 00:00:02.415205
2025/08/26,16:02:31,1.0,1.5,3,832461075,8,12,33,151,32,0 days 00:00:00.554640
2025/08/26,16:02:31,0.0,1.0,3,014632785,7,12,23,197,46,0 days 00:00:01.029958
2025/08/26,16:02:32,1.0,1.0,3,014632785,7,12,23,395,18,0 days 00:00:03.937273
2025/08/26,16:02:36,1.0,1.1,3,014632785,7,12,23,209,26,0 days 00:00:01.153081
2025/08/26,16:02:37,1.0,1.25,3,014632785,7,12,23,177,26,0 days 00:00:00.885749
2025/08/26,16:02:38,1.0,1.5,3,014632785,7,12,23,111,26,0 days 00:00:00.336599
2025/08/26,16:02:39,0.0,1.0,3,123485760,3,4,15,6,4,0 days 00:00:00.002134
2025/08/26,16:02:39,1.0,1.0,3,123485760,3,4,15,6,4,0 days 00:00:00.001917
2025/08/26,16:02:39,1.0,1.1,3,123485760,3,4,15,6,4,0 days 00:00:00.001948
2025/08/26,16:02:39,1.0,1.25,3,123485760,3,4,15,6,4,0 days 00:00:00.001939
2025/08/26,16:02:39,1.0,1.5,3,123485760,3,4,15,6,4,0 days 00:00:00.001886
2025/08/26,16:02:39,0.0,1.0,3,134672058,8,12,17,101,48,0 days 00:00:00.283118
2025/08/26,16:02:39,1.0,1.0,3,134672058,8,12,17,176,20,0 days 00:00:00.854050
2025/08/26,16:02:40,1.0,1.1,3,134672058,8,12,17,181,24,0 days 00:00:00.976885
2025/08/26,16:02:41,1.0,1.25,3,134672058,8,12,17,115,24,0 days 00:00:00.363531
2025/08/26,16:02:41,1.0,1.5,3,134672058,8,12,17,108,24,0 days 00:00:00.316501
2025/08/26,16:02:42,0.0,1.0,3,845207631,9,22,37,86,42,0 days 00:00:00.232381
